AmountSaved,저장된 금액
ScotApp_1698,‘상태 수정됨’을 눌러 주십시오.
ScotApp_1688,SafePay
ScotApp_454,454unused
ScotApp_1593,동전 제거
ScotApp_1642,SafePay
ScotApp_1015,뒤로 이동한 상품
ScotApp_785,785unused
ScotApp_685,시간별
ScotApp_585,585unused
ScotApp_536,동전 수납 장치
ScotApp_385,385unused
ScotApp_285,스캐너: 유효하지 않은 태그 접미사
ScotApp_185,고객의 서명을 카드의 서명과 비교해 주십시오.
ScotApp_1224,가격 필요
ScotApp_985,상품을 벨트에 위치시키십시오.
ScotApp_885,장바구니 경고
ScotApp_575,현금 입찰 종료.  잔고 액수.
ScotApp_475,거래 보류
ScotApp_375,프린터 시간 초과
ScotApp_1002,판매하지 않음
ScotApp_1888,"보안을 위해 고객 거래 내역을 관찰하고 '보안 해제'를 눌러 주십시오."
ScotApp_910,910unused
ScotApp_1592,걸림이 발생한 상자에서 동전을 제거. 상자 기울임. 동전을 제거하기 전까지 나사를 오른쪽으로 돌려 주십시오. 지나친 힘을 가하지 마십시오.
ScotApp_875,구매 취소를 위한 총괄 출납 직원
ScotApp_1014,벨트에서 뒤로 이동한 상품들을 제거해 주십시오.
ScotApp_1572,동전 관리 화면에서의 변경 내용을 무시하시겠습니까?
ScotApp_1790,신용/직불 카드 전용
ScotApp_1344,Security Manager 로드 완료.
ScotApp_798,798unused
ScotApp_698,698unused
ScotApp_598,Form %d 저장 실패!
ScotApp_498,지불된 액수:
ScotApp_398,카세트 삽입됨
ScotApp_298,298unused
ScotApp_198,User Exits 로드 중...
ScotApp_998,수량
ScotApp_898,WTINFO 종료 중...
ScotApp_1416,멀티 팩 확인
ScotApp_1431,모두 무효화
ScotApp_1236,보고서 처리 중...
ScotApp_1770,검색 결과에서 선택.
ScotApp_1000,찾을 수 없음
ScotApp_1439,‘봉투/상자’ 역치 초과
ScotApp_1217,무효
ScotApp_759,카드를 지불 장치에 통과시켜 주십시오.
ScotApp_659,화폐 낮음 상태:
ScotApp_559,쿠폰 없음
ScotApp_459,이 용도에 대해서 잔고가 그대로 유지됩니다.
ScotApp_359,시스템 기능
ScotApp_259,Device Manager 종료 중...
ScotApp_1007,도움 요청됨
ScotApp_1438,‘새 상품’ 역치 초과
ScotApp_959,중량 학습 데이터베이스
ScotApp_859,아니요
ScotApp_1216,보안
ScotApp_1373,선물 카드 수집
ScotApp_1005,시각적 확인
ScotApp_1655,판매 부문
ScotApp_1228,보류됨
ScotApp_1725,보안 비활성화
ScotApp_1006,기타 입찰
ScotApp_496,수량 제한
ScotApp_1018,최소 나이.
ScotApp_1160,"PIN 패드 뒤쪽에 케이블이 올바로 연결되어 있는지 확인하십시오.\n\n케이블이 올바로 고정되어 있지 않다면 '직접 문제 해결 완료'을 눌러 주십시오.\n\n만일 에러가 계속 발생한다면 터미널을 종료하고 다시 시작해 주십시오."
ScotApp_1073,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;DATANEEDEDTYPE=%d;
ScotApp_1424,휴대형 스캐너를 연결하려면 ‘연결’을 누르십시오.
ScotApp_1202,닫기 완료된 계산 통로
ScotApp_679,도움 보고서
ScotApp_1792,카드 전용
ScotApp_1214,영수증
ScotApp_1804,카드 전용 모드 나가기
ScotApp_879,879unused
ScotApp_1072,정보 필요
ScotApp_1631,SafePay
ScotApp_1148,보안 저울 구성 요소 문제 발생
ScotApp_1244,직불 예금
ScotApp_1004,상품 확인
ScotApp_1282,다음 항목에 대해 가격 필요:
ScotApp_1071,1071unused
ScotApp_1276,사용자 지정18
ScotApp_1200,가격 프롬프트
ScotApp_1639,SafePay
ScotApp_1828,\n    - 볼륨 레벨 %d%%
ScotApp_1308,PIN 입력됨
ScotApp_1417,상품이 멀티 팩인 경우 ‘도움 모드’를 눌러서 취소한 다음 멀티 팩 바코드를 스캔해 주십시오.
ScotApp_1343,Security Manager 로드 중...
ScotApp_779,779unused
ScotApp_1429,<<<동전 부족. 다시 보충해 주십시오.>>>
ScotApp_579,579unused
ScotApp_479,쿠폰 제출
ScotApp_379,현금 수납 장치
ScotApp_279,모든 기록된 보안 문제들을 승인해 주십시오.
ScotApp_179,179unused
ScotApp_1865,상품 찾기\n 중량 미적용
ScotApp_1207,확인된 서명
ScotApp_1638,SafePay
ScotApp_979,역치 = 고객 요청 %d 개
ScotApp_707,이전 7일간
ScotApp_607,장바구니 담기 설정
ScotApp_507,시각적으로 상품 확인
ScotApp_307,기타 용기
ScotApp_207,207unused
ScotApp_107,도움 처리 진행 중
ScotApp_1219,나이 제한
ScotApp_907,907unused
ScotApp_807,보안 태그 제거
ScotApp_1077,상품을 벨트로 반납
ScotApp_1428,다음 물품의 가격 변경: \n%s
ScotApp_1695,나중에 고침
ScotApp_1206,해제되지 않은 상품
ScotApp_1218,컬렉션
ScotApp_1782,안내직원 모드로 거래 시작
ScotApp_1273,사용자 지정15
ScotApp_1624,SafePay
ScotApp_793,793unused
ScotApp_1059,1059unused
ScotApp_593,NCR SelfServ Checkout SigCap 로드 중...
ScotApp_493,영수증이 아래의 지불 장치에서 인쇄될 것입니다.
ScotApp_393,일지 프린터
ScotApp_293,도움 요청
ScotApp_1205,장바구니 영역 백업
ScotApp_993,계산 통로 닫기 완료
ScotApp_893,DBM 로드 중...
ScotApp_1063,1063unused
ScotApp_1414,이 계산 통로는 전원이 복원될 때까지 사용할 수 없습니다.
ScotApp_1182,쿠폰 금액 제한
ScotApp_1201,도움 입찰
ScotApp_1075,제한\벨트 건너뛰기
ScotApp_1348,계산 통로 닫기 완료
ScotApp_1671,SafePay
ScotApp_1204,문서 번호
ScotApp_1284,1284unused
ScotApp_1062,1062unused
ScotApp_1233,다른 지불 방식
ScotApp_27,27unused
ScotApp_1074,벨트 건너뛰기 승인.
ScotApp_1472,현금 재활용 장치 준비되지 않음
ScotApp_1026,거래 취소
ScotApp_1061,1061unused
ScotApp_1617,입력 내용이 용량을 초과했습니다. 지급 장치 상자에 대한 로드 개수를 다시 입력하십시오. 최대 용량은 %d 입니다.
ScotApp_1050,1050unused
ScotApp_744,744unused
ScotApp_1591,동전 지급 장치와의 케이블 연결을 확인해 주십시오.
ScotApp_1130,지폐 수납 장치 에러
ScotApp_1270,사용자 지정12
ScotApp_1629,SafePay
ScotApp_1820,"170=상품을 저울에서 제거한 다음 스캐너의 '>0<' 단추를 눌러 주십시오."
ScotApp_882,보류 내역을 확인하십시오.
ScotApp_1440,지폐 관리
ScotApp_1407,다시 시작해야 함
ScotApp_727,727unused
ScotApp_627,거래 #:
ScotApp_527,527unused
ScotApp_427,미디어 낮음
ScotApp_327,"장치 오프라인, 연결/이벤트 로그를 확인해 주십시오:"
ScotApp_227,카드 리더 잘못된 카드 삽입됨
ScotApp_127,127unused
ScotApp_665,계속 진행하려면 모두 취소나 뒤로 이동을 선택하십시오.
ScotApp_1060,잠시만 기다려 주십시오...
ScotApp_1616,지급 장치 상자에 대한 로드 개수를 입력하십시오. 최대 로드 수량은 %d 개 입니다.
ScotApp_927,장치 오작동
ScotApp_827,상품 바코드를 패드 위로 통과시킨 다음에 장바구니 영역에 위치시켜 주십시오.
ScotApp_1540,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_900,상품을 장바구니 영역에 위치시켜 주십시오.
ScotApp_1277,사용자 지정19
ScotApp_865,카드 소유자 확인
ScotApp_506,506unused
ScotApp_406,406unused
ScotApp_306,용기 없음
ScotApp_206,옵션이 로드될 것입니다.
ScotApp_106,도움 필요
ScotApp_1209,선물 카드 제한 초과됨
ScotApp_806,시각적 확인 상품 승인 
ScotApp_1067,1067unused
ScotApp_1418,최대 무게 허용 초과.
ScotApp_1473,장치가 준비되지 않았습니다.\n\n전원을 끄고 통신 케이블을 확인하거나 유니트를 다시 캐비닛으로 밀어 주십시오.
ScotApp_187,187unused
ScotApp_1716,예상무게:
ScotApp_1190,입력된 쿠폰
ScotApp_1602,     카드 지급 장치 상자에 카드가 부족합니다(%s)
ScotApp_1149,영수증 프린터 에러
ScotApp_1066,1066unused
ScotApp_1614,지급 장치 상자
ScotApp_792,792unused
ScotApp_692,692unused
ScotApp_592,NCR SelfServ Checkout Encryptor 로드 완료.
ScotApp_492,거스름돈을 받으십시오.
ScotApp_392,알 수 없는 상품
ScotApp_292,쿠폰 스캔 불가능
ScotApp_192,192unused
ScotApp_1241,신용
ScotApp_1197,취소된 거래
ScotApp_1548,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_992,출생 날짜 입력
ScotApp_892,Smart Scale 종료 중...
ScotApp_1053,출납 직원이 서명할 용지를 가져올 때까지 기다려 주십시오.
ScotApp_1404,POS 서버가 오프라인이거나 동기화에서 벗어났습니다. 터미널을 꺼 주십시오.
ScotApp_1245,직불 수표
ScotApp_1262,사용자 지정4
ScotApp_1471,동전 재활용 장치 에러
ScotApp_1196,운전 면허 번호
ScotApp_1052,1052unused
ScotApp_1600,카드 지급 장치 상태 :
ScotApp_1663,상자가 비어 있거나 걸림
ScotApp_1261,사용자 지정3
ScotApp_1125,"동전 보관함 위쪽을 통해 모든 동전 채널을 다시 채워 주십시오.\n\n매장 모드로 이동해서 '현금/용지 상태'를 선택한 다음 '동전 지급 장치 다시 채움' 단추를 눌러 주십시오."
ScotApp_1183,가격 프롬프트
ScotApp_1470,지폐 재활용 장치 에러
ScotApp_1195,CSA 보류됨
ScotApp_1229,도움 요청됨
ScotApp_1051,용지 승인
ScotApp_1607,     차단 상자가 정상입니다(%s)
ScotApp_1895,Genr Excp
ScotApp_747,747unused
ScotApp_647,N
ScotApp_447,보너스 카드 계정이 활성화되었습니다.
ScotApp_347,제한 상품이 취소되었습니다 – 연령 제한 충족되지 않음. 상품을 유보해 주십시오.
ScotApp_247,247unused
ScotApp_147,147unused
ScotApp_1260,사용자 지정2
ScotApp_1619,보류
ScotApp_769,보류 확인 또는 취소를 해 주십시오.
ScotApp_947,새로운 중량 상품
ScotApp_847,스캔 종료
ScotApp_1477,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_726,726unused
ScotApp_626,허용치:
ScotApp_526,\n잘못된 PIN 입력.\n다른 카드를 넣어 주십시오\n   -또는-\n현금으로 지불해 주십시오
ScotApp_426,계산 통로 ##:
ScotApp_326,출생 날짜가 제한 상품의 연령 제한을 충족시키지 않습니다.  다시 입력하거나 모든 제한 상품을 무효화해 주십시오.
ScotApp_226,카드 리더 장치 작동 불가능
ScotApp_126,(mmddyy).
ScotApp_1606,     차단 상자가 정상입니다
ScotApp_926,상품이 장바구니 영역으로 반납되지 않음.
ScotApp_826,담기 작업 건너뛰기
ScotApp_1267,사용자 지정9
ScotApp_1618,지폐 지급 장치 카세트가 없거나 완전히 삽입되지 않았습니다.\n\n지폐 카세트를 설치하거나 완전히 고정될 때까지 다시 위치를 잡아 주십시오.
ScotApp_1181,쿠폰 역치 초과
ScotApp_205,복사 작업이 완료되었습니다.
ScotApp_105,알 수 없는 상품
ScotApp_1476,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1730,검색
ScotApp_1390,장치 응답하지 않음
ScotApp_805,상품 승인
ScotApp_1864,계산 통로로 이동
ScotApp_1408,도움 모드를 사용해야 함
ScotApp_1266,사용자 지정8
ScotApp_1180,가격 일치하지 않음
ScotApp_1208,도움 모드에서 판매됨
ScotApp_1475,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1397,안내 직원
ScotApp_1748,지문 로그인 실패
ScotApp_718,718unused
ScotApp_618,중량 허용치
ScotApp_518,현금을 입금하십시오.
ScotApp_1253,PIP 고객 관리
ScotApp_1604,     카드 지급 장치 상자가 정상입니다(%s)
ScotApp_218,프린터 거의 비었음
ScotApp_118,승인 필요
ScotApp_552,오퍼레이터와 패스워드에 0이 먼저 나올 수 없습니다.
ScotApp_791,지불 유형 선택
ScotApp_691,691unused
ScotApp_591,NCR SelfServ Checkout Encryptor 로드 중...
ScotApp_391,가격이 필요한 상품
ScotApp_918,상품 중량에 대한 기록 없음.
ScotApp_1187,장치 에러
ScotApp_991,나이 확인
ScotApp_891,Smart Scale 로드 완료
ScotApp_1474,하드웨어 에러. 에러 코드 E%d
ScotApp_1396,안내 직원 모드에서 나오기
ScotApp_1252,PIP 직불 캐시 백
ScotApp_1732,선택 목록 이미지 로드 완료.
ScotApp_1461,동전
ScotApp_1166,* 프린터 케비닛 도어를 열어 주십시오.\n* 프린터 고정을 해제하고 뒤로 밀어 주십시오.\n* 걸림이 있는지 확인하기 위해서 프린터 커버를 열어 주십시오.\n* 프린터 커버를 닫고 용지를 다시 적재해 주십시오.\n* 프린터가 올바른 위치에 걸릴 때까지 주의해서 앞으로 당겨 주십시오.
ScotApp_1186,예상하지 못한 감소
ScotApp_1857,  벨트에 올려 놓지 마십시오
ScotApp_1829,승인
ScotApp_1670,SafePay
ScotApp_1198,입력된 계정 번호
ScotApp_1869,시야 내 손 포착
ScotApp_1251,PIP 직불
ScotApp_1855,옵션
ScotApp_767,미디어 레벨 정상
ScotApp_667,카드 통과. 상품과 쿠폰을 스캔해 주십시오.
ScotApp_567,입력
ScotApp_467,467unused
ScotApp_367,367unused
ScotApp_267,보안
ScotApp_1460,지폐
ScotApp_1185,봉투 상자 역치 초과
ScotApp_1009,매장 모드
ScotApp_867,아니요
ScotApp_1856,  봉투 사용 금지
ScotApp_1677,SafePay
ScotApp_746,746unused
ScotApp_646,Y
ScotApp_1394,디지털 인터페이스 에러
ScotApp_446,거래 보류
ScotApp_346,ATM (캐시 백)
ScotApp_246,246unused
ScotApp_146,지불 유형을 선택하십시오.
ScotApp_1501,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1609,     차단 상자가 거의 다 차 있습니다
ScotApp_1194,인증 번호
ScotApp_946,봉투/상자 승인
ScotApp_846,"상품을 스캔하거나 '스캔 종료'를 눌러 주십시오."
ScotApp_1843,고객 장바구니
ScotApp_1467,현금 제거를 위해 ‘현금/용지 상태’ 화면 사용.
ScotApp_725,725unused
ScotApp_625,<%s> ~ <%s> 사이의 중량 허용치를 입력해 주십시오.
ScotApp_1381,처리 중...
ScotApp_425,425unused
ScotApp_325,입력한 날짜가 올바른 날짜가 아닙니다
ScotApp_225,카드 리더 캡처 상자 삽입됨
ScotApp_1676,SafePay
ScotApp_925,925unused
ScotApp_825,상품 담기
ScotApp_1608,     차단 상자가 비어 있습니다
ScotApp_1842,전체 도움
ScotApp_1808,영수증 상의 항목 선택.
ScotApp_1466,현금 재활용 상태 가득 참
ScotApp_1380,가격
ScotApp_1854,옵션
ScotApp_1675,SafePay
ScotApp_1597,고객 카드
ScotApp_1350,%s\n%s %s 추가됨
ScotApp_738,738unused
ScotApp_638,유효 WLDB 허용치 정보
ScotApp_538,538unused
ScotApp_338,상품 설명의 첫번째 세 문자를 입력해 주십시오.
ScotApp_238,\n현금 수납 장치가 투입된 현금에 대한 로그 생성을 하지 못했습니다.\n\n지폐 카세트를 점검해 주십시오.
ScotApp_138,카드 받기
ScotApp_1170,* 프린터 커버를 열고 그림의 영역에서 용지 걸림을 검사합니다. \n* 걸린 종이를 제거합니다.\n* 프린터 커버를 닫고 용지를 다시 넣습니다.\n* 만일 에러가 계속 나타난다면 터미널을 다시 시작해 주십시오.
ScotApp_1841,승인을 위해 계산 통로로 이동해 주세요
ScotApp_1740,장바구니 검사
ScotApp_938,938unused
ScotApp_838,고객 계약 내용
ScotApp_1133,지폐 수납 장치에 걸림 발생.
ScotApp_1387,"치명적인 소프트웨어 에러 발생.\n터미널을 다시 시작해 주십시오.\n\n터미널을 다시 시작하려면:\n* 관리자 키 잠금 장치를 'S'로 돌립니다 –또는- 관리자 단추를 눌러 주십시오.\n* 전체 시스템 다시 시작을 선택합니다.\n* 지원 부서에 연락을 해서 에러를 알려 주십시오."
ScotApp_1674,SafePay
ScotApp_1650,(ddmmyy)
ScotApp_690,690unused
ScotApp_590,Device Factory 종료 중...
ScotApp_490,"상품을 스캔하거나 '시작'을 눌러서 시작할 수 있습니다."
ScotApp_390,반납된 상품
ScotApp_290,290unused
ScotApp_190,Transaction Broker 로드 중...
ScotApp_990,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;
ScotApp_890,Smart Scale 로드 중...
ScotApp_1772,쿠폰
ScotApp_1661,영수증 인쇄 불가능.  ‘다른 영수증’을 눌러서 다시 시도하십시오.
ScotApp_1132,통신 에러.
ScotApp_1386,치명적 에러
ScotApp_784,지폐 지급 장치 작동 불가능\n* 지폐 지급 장치에 지폐를 보충하거나\n* 지폐 지급 장치 걸림을 제거하거나\n* 방출 상자를 조정해 주십시오.
ScotApp_684,오늘
ScotApp_584,EBT 거부됨.
ScotApp_484,서명 필요
ScotApp_384,384unused
ScotApp_284,스캐너: 데이터 손실
ScotApp_1595,선호하는 언어
ScotApp_1451,출납 직원 ID
ScotApp_984,운반 벨트 로드 완료.
ScotApp_884,보류 취소
ScotApp_1847,"상품 추가됨. 다음 상품 스캔 또는 ""코드 입력"" 누르기."
ScotApp_1660,인쇄 옵션 선택
ScotApp_1131,지폐 카세트가 없거나 잘못 삽입되었습니다.
ScotApp_1385,언어 선택
ScotApp_1436,‘담기 작업 건너뛰기’ 역치 초과
ScotApp_1049,1049unused
ScotApp_666,666unused
ScotApp_1594,터미널을 적절하게 종료한 다음 다시 시작합니다.
ScotApp_466,   스캔 완료 알 수 없는 상품
ScotApp_366,프린터 나이프 걸림
ScotApp_266,Sec.Agent 종료 중...
ScotApp_966,966unused
ScotApp_1541,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1846,"상품 스캔 또는 ""코드 입력"" 누르기."
ScotApp_1667,SafePay
ScotApp_1689,SafePay
ScotApp_745,745unused
ScotApp_645,스캔한 상품을 장바구니 영역에 다시 위치시켜 주십시오.
ScotApp_1581,지폐 지급 장치
ScotApp_445,현금 혜택
ScotApp_345,345unused
ScotApp_245,카드 리더 장치 작동 불가능
ScotApp_145,145unused
ScotApp_945,제한\봉투/상자
ScotApp_713,713unused
ScotApp_613,상품을 봉투 저울에 위치시키십시오.
ScotApp_513,513unused
ScotApp_313,313unused
ScotApp_213,213unused
ScotApp_113,상품 취소
ScotApp_1573,보충을 위해 ‘로드’ 단추를 누르십시오. 제거하려면 ‘투입 장치 픽업’과 ‘지급 장치 픽업’ 단추를 눌러 주십시오.
ScotApp_913,보안 저울에 예상하지 못한 상품.
ScotApp_813,"PO# / 작업 이름을 입력한 다음 '입력'을 눌러 주십시오"
ScotApp_1666,SafePay
ScotApp_1137,%s 지폐 카세트 설치되지 않음.
ScotApp_1580,지폐 지급 장치
ScotApp_758,758unused
ScotApp_658,화폐 량이 낮습니다
ScotApp_558,수량 제한 상품
ScotApp_1653,수량이 용량을 초과했습니다. 필요한 최대 수량은 %s 입니다. 수량으로 %s이(가) 자동으로 입력됩니다.
ScotApp_358,도움 모드로 돌아가기
ScotApp_258,Transaction Broker 종료 중...
ScotApp_158,이 상품은 매장 승인이 필요합니다. 계속 진행해 주십시오.
ScotApp_1844,검색
ScotApp_958,봉투 저울
ScotApp_858,예
ScotApp_1136,지폐 차단 상자가 없거나 올바로 고정되지 않았습니다.
ScotApp_1587,지폐 관리 화면에서의 변경 내용을 무시하시겠습니까?
ScotApp_1531,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1599,%s 사용 환경 검색 실패.
ScotApp_1652,(yymmdd)
ScotApp_1123,* 걸려 있는 모든 지폐들이 다 제거되기 전까지 계속하지 마십시오.\n* 캐비닛 밖으로 주의해서 지폐 공급 장치를 꺼냅니다.\n* 벨트를 건드리지 말고 걸려 있는 지폐를 지폐 공급 장치 위로 제거합니다.\n* 지폐 공급 장치를 캐비닛에 눌러 넣습니다.\n* 도어를 잠근 다음 ‘직접 문제 해결 완료’를 눌러 주십시오.
ScotApp_1342,유틸리티 선택
ScotApp_1332,스페이스
ScotApp_1586,%s          %s           %s
ScotApp_1444,제거
ScotApp_1598,사용환경 활성화됨.
ScotApp_1651,(yyyymmdd)
ScotApp_1122,지폐 지급 장치의 출구 쪽에 지폐가 걸려 있는 것 같습니다.\n\n지폐 지급 장치를 케비닛에서 일부만 당겨 주십시오.\n\n이 부근에 걸려 있는 지폐를 제거해 주십시오.\n주의해서 지폐 지급 장치를 케비닛 쪽으로 밀어 주십시오.
ScotApp_1331,Shift
ScotApp_1585,상자                                                값                         수치 상 변화
ScotApp_1118,%s 지폐 지급 중 문제 발생.\n\n지폐 카세트에서 %s 지폐를 가져올 수 없습니다.\n\n%s 지폐 카세트를 제거해 주십시오.
ScotApp_1884,스마트 도움 경고
ScotApp_1191,치수 필요
ScotApp_1121,이 때 보이는 지역 내에 지폐 걸림이 발생한 것 같습니다.\n\n지폐 지급 장치를 케비닛에서 일부만 당겨 주십시오.\n\n걸려 있는 지폐를 제거합니다.\n\n주의해서 지폐 지급 장치를 케비닛 쪽으로 밀어 주십시오.
ScotApp_503,503unused
ScotApp_403,403unused
ScotApp_1849,
ScotApp_1330,상품을 봉투에 넣지 않음
ScotApp_1355,잔고
ScotApp_1584,상자                                         카운트                              수량 변경
ScotApp_465,%s               %s
ScotApp_365,프린터 헤드 걸림
ScotApp_265,265unused
ScotApp_965,965unused
ScotApp_633,서명:
ScotApp_433,433unused
ScotApp_333,카드 리더 셔터 걸림 에러
ScotApp_233,지폐 수납 장치가 올바로 설치되었는지 다시 확인합니다.\n\n손잡이를 앞으로 당겨서 지폐 수납 장치의 고정을 해제한 후 앞쪽으로 끌어 냅니다.\n\n지폐 수납 장치가 정지할 때까지 다시 뒤로 밀어 주십시오.
ScotApp_133,133unused
ScotApp_1120,%s 지폐 카세트 앞에 지폐가 걸린 것 같습니다.\n\n%s 카세트를 제거하고 이 부근에 지폐 걸림이 발생했는지 확인하십시오.\n\n가능하다면 걸려 있는 지폐를 제거하고 지폐 카세트를 교체해 주십시오.
ScotApp_1805,현금 전용 모드 나가기
ScotApp_933,중량 불일치
ScotApp_833,833unused
ScotApp_1337,SelfServ Checkout 나가기
ScotApp_1780,거래 시작
ScotApp_712,712unused
ScotApp_612,중량 추가
ScotApp_512,시각적 확인
ScotApp_312,상자에 걸림이 발생했습니다
ScotApp_212,212unused
ScotApp_112,수량 승인
ScotApp_1081,모든 계산 통로\n보이기
ScotApp_778,778unused
ScotApp_678,678unused
ScotApp_578,카드 입찰 종료.  거스름돈 액수.
ScotApp_478,쿠폰을 제출해 주십시오.
ScotApp_378,영수증 프린터
ScotApp_278,보안 로그
ScotApp_1127,다시 연결
ScotApp_1802,카드 전용
ScotApp_978,역치 = %d.
ScotApp_878,가격을 입력하십시오.
ScotApp_1533,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1787,사용한 비닐 봉투 개수를 입력하거나 비닐 봉투를 사용하지 않았을 경우 0을 입력하십시오.
ScotApp_1799,현금 전용 모드
ScotApp_1309,* 카세트가 고정될 때까지 삽입해 주십시오.\n* 지폐 수납 장치 모터가 잠시 회전하는지 확인하십시오.
ScotApp_1323,거래 후 중량이
ScotApp_1079,스캔한 상품을 벨트 위에 다시 위치시켜 주십시오.
ScotApp_1382,(표준)
ScotApp_1532,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1786,비닐 봉투 요금
ScotApp_1094,서명 인쇄
ScotApp_1113,%s @ %s/%s\t%s
ScotApp_1798,현금 전용 모드
ScotApp_1322,쿠폰 센서 에러\n통신 오류.
ScotApp_1078,중량 예상 내용에 대한 설정을 선택하십시오. (고객이 상품을 벨트 위에 위치시켜야 함.)
ScotApp_1334,  벨트에 상품 없음
ScotApp_1785,잘못된 로그인. 키패드나 지문을 이용해서 다시 로그인해 주십시오.
ScotApp_1046,계산대의 출납 직원에게 %s을(를) 제출해 주십시오.
ScotApp_1696,상태 수정됨
ScotApp_1112,%s @ %s %s/%s\t%s
ScotApp_1158,PIN 패드 / EFT 장치 에러
ScotApp_1065,1065unused
ScotApp_1321,상품권 지불 종료.  잔고 액수.
ScotApp_764,764unused
ScotApp_1530,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1784,다중 팩 항목
ScotApp_1070,1070unused
ScotApp_49,49unused
ScotApp_1111,  수량 %s @ %s/%s\t%s
ScotApp_753,어제 시간별
ScotApp_653,"쿠폰의 금액을 원 단위로 입력한 다음 '입력'을 눌러 주십시오."
ScotApp_453,동전 수납 장치 상태 가득 참
ScotApp_353,뒤로 이동
ScotApp_253,253unused
ScotApp_153,153unused
ScotApp_1320,상품권 지불 시작.
ScotApp_953,"터미널을 종료한 다음 다시 시작해 주십시오:\n* 관리자 키 잠금 장치를 'S'로 돌리거나 관리자 단추를 눌러 주십시오. \n*선택 ""다음 다시 시작 시 ADD 실행"". 선택하고 ""예""를 확인합니다.\n*'전체 시스템 종료'를 선택해 주십시오.\n*화면이 꺼지면 UPS나 전원 컨센트에서 터미널의 전원을 차단해 주시기 바랍니다.\n*다시 터미널을 켜 주십시오. 이벤트 뷰어를 확인하십시오. 에러가 다시 발생하면 서비스를 요청해 주십시오."
ScotApp_853,상품 4개
ScotApp_1845,영수증
ScotApp_1537,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_732,732unused
ScotApp_632,632unused
ScotApp_532,제한 상품
ScotApp_432,EBT
ScotApp_332,도움 모드에서 나가기
ScotApp_232,* 지폐 수납 장치와 카세트를 제거합니다.\n* 카세트 내의 걸림을 확인합니다.\n* 수납 장치 위에 있는 접근 도어를 열고 지폐 걸림이 있는지 확인합니다.\n* 접근 도어를 확실하게 닫아 주십시오.\n* 수납 장치와 카세트를 교체합니다.
ScotApp_132,132unused
ScotApp_1110,  수량 %s @ %s/단일 품목 당\t%s
ScotApp_1242,직불
ScotApp_1285,인기 상품
ScotApp_932,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;
ScotApp_832,832unused
ScotApp_1327,"원하는 보고서를 누른 후 '보고서 실행'을 눌러 주십시오."
ScotApp_711,711unused
ScotApp_611,원하는 기능을 선택하십시오.
ScotApp_511,고객의 서명을 카드의 서명과 비교해 주십시오.
ScotApp_411,고객 카드 받기
ScotApp_311,상자가 비었습니다
ScotApp_111,저울 재설정
ScotApp_1789,COUPON
ScotApp_1536,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_911,보안 허용
ScotApp_811,선물 카드를 스캔해 주십시오. 추가 상품에 대해 바구니를 점검합니다.
ScotApp_1628,SafePay
ScotApp_1523,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1349,%s\n %s\n%s %s 예상\n%s %s 관찰됨
ScotApp_1892,보안 분석
ScotApp_1279,수표
ScotApp_1535,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1057,1057unused
ScotApp_1441,동전 관리
ScotApp_1313,* 프린터에 용지 걸림이 발생했는지 점검합니다.\n* 용지를 다시 넣습니다.\n* 터미널을 적절하게 종료한 다음 다시 시작합니다.
ScotApp_1681,SafePay
ScotApp_1069,1069unused
ScotApp_1325,상품을 저울에 위치시키십시오.
ScotApp_1278,사용자 지정20
ScotApp_1103,이전
ScotApp_1534,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1056,1056unused
ScotApp_1312,* 지폐 카세트를 제거합니다.\n* 카세트를 열고 지폐를 제거합니다.\n* 다시 닫은 후에 수납 장치에 다시 넣습니다.\n* 지폐 수납 장치 모터가 켜져 있고 LED가 녹색으로 켜져 있는지 확인하십시오.
ScotApp_1265,사용자 지정7
ScotApp_1850,에러 발생 장치
ScotApp_1213,알 수 없음
ScotApp_1521,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
