AmountSaved,المبلغ المدخر
ConfirmSuspendDeclinedLeadthru,تأكيد أو إلغاء رفض التعليق.
ConfirmSuspendDeclinedButtonText,تأكيد الرفض
CancelSuspendDeclinedButtonText,العودة
TMTransLeadthru,الممر في وعضية التدريب، \nهل تريد متابعة العملية؟
HH_TMTransLeadthru,الممر في وعضية التدريب، \nهل تريد متابعة العملية؟
TMTransLaneButtonText,التدريب Trx
DateFormat1,(الشهر اليوم السنة)
DateFormat2,(الشهر اليوم السنة)
DateFormat3,(اليوم الشهر السنة)
DateFormat4,(اليوم الشهر السنة)
DateFormat5,(السنة الشهر اليوم)
DateFormat6,(السنة الشهر اليوم)
GoBackCouponButtonText,العودة
ApproveCouponButtonText,الموافقة على القسيمة
CouponExceededLimitLeadthru,"المس ""الموافقة على القسيمة"" لقبول القسيمة أو اذهب إلى وضعية المساعدة لإلغائها."
CouponExceededLimitFinalizationLeadthru,تمت العملية باستخدام القسيمة التي تتجاوز حد القسائم في المتجر.
ClearSecurityFinalizationButtonText,مسح أمني
ExpandReceiptButtonText,ابسط الوصل
CollapseReceiptButtonText,اثن الوصل
InvalidBarcodeLeadThru,"Collect item at lane and touch ""Approve"" to continue transaction."
InvalidBarcodeLaneButtonText,تأكد من السلعة
HH_InvalidBarcodeLeadThru,"Collect item, Touch ""Approve"" to continue transaction."
GoToLaneOrHHRapLeadthru, Please go to Lane or HHRap for approval
GoToLaneOrRapLeadthru, Please go to Lane or Rap for approval
GoToLaneLeadthru, Please go to Lane for approval
DisableRapApprovalText, Disable RAP Approval
DisableHHRapApprovalText, Disable HHRAP Approval
UpdateItemButtonText,Update Item
SuspendConfirmationTitle,تعليق التأكيد
DoNotApproveButtonText,Do Not Approve
SmVoidAndRemoveItemLeadthru,أزل لطفاً السلعة الملغيّة من منطقة التعبئة في الأكياس..
RestrictedItemsNotApprovedTitle,سلع غير متاحة وخاضعة لقيود
HH_AssistAtLaneLeadthru,Go to the Lane to void items.
XM_Acceptor,المتلقي
XM_CashStatus,حالة النقود
XM_CashStatusLeadthru,اختر الوظيفة المطلوبة
XM_CoinAcceptor,متلقي النقود المعدنية
XM_CoinOverflow,فائض في النقود المعدنية
XM_CoinOverflowText,فائض
XM_CoinRecycler,أداة إعادة تدوير النقود المعدنية
XM_Coins,النقود المعدنية
XM_NoteOverflow,فائض في النقود الورقية
XM_NoteOverflowText,فائض
XM_NoteRecycler,جهاز إعادة تدوير النقود الورقية
XM_Notes,النقود الورقية
XM_PurgeOperationText,Purge Operations
XM_TerminalNumber,رقم الآلة
XM_TotalCount,مجموع التعداد:
XM_TotalValue,مجموع القيمة:
XM_CoinsSubtotal,مجموع القطع النقدية المعدنية:
XM_NotesSubtotal,مجموع الأوراق النقدية:
XM_GrandTotal,المجموع الكلي:
XM_AreYouSure,هل أنت متأكد من أنك تريد إتمام العمليات المدرجة أدناه؟
XM_Attendant,الحاضر
XM_Backspace,محو
XM_BillAcceptor,متلقي النقود الورقية
XM_BillDispenser,صراف النقود الورقية
XM_Bins,الصناديق
XM_BothDispenseFailure,تعذّر الصّرف %s.\nالنقود لا تكفي أو هناك خطأ في الصراف.
XM_CancelChanges,إلغاء التغييرات
XM_CannotCompleteTransfer,تعذّر إتمام التحويل.  لا يوجد في صندوق النقود مساحة كافية.  نرجو إفراغ صندوق النقود قبل القيام بهذه العملية.
XM_CashManagement,إدارة النقود
XM_CashManagementReport,تقرير إدارة النقود
XM_CashRemove,إزالة النقود
XM_CashRemoveLeadthru,اختر الوظيفة المطلوبة
XM_CashReplenishLeadthru,اختر الوظيفة المطلوبة
XM_CashReplenishLeadthru1,أودع النقود المعدنية أو اختر الوظيفة المطلوبة
XM_CashReplenishLeadthru2,أودع النقود أو اختر الوظيفة المطلوبة.
XM_CashReplenishLeadthru3,"عند الانتهاء، المس ""خروج""."
XM_CashReplenishment,أكمل النقود
XM_ChangeInCount,تغير في العدّ
XM_ChangeInValue,تغير في القيمة
XM_Clear,امسح
XM_ClearPrompt1,"عند الإكمال، اختر وظيفة أخرى أو ""اخرج""."
XM_ClearPrompt2,"اختر وظيفة أخرى أو ""اخرج""."
XM_CoinAcceptorOffline,المتلقي لا يستجيب.\n\nأطفئ الآلة وأعد تشغيلها.
XM_CoinDispenseFailure,تعذّر الصّرف %s.\nالنقود المعدنية لا تكفي أو هناك خطأ في صراف النقود المعدنية.
XM_CoinDispenser,صراف النقود المعدنية
XM_CoinManagement,إدارة النقود المعدنية
XM_ConfirmAction,تأكيد العمليات
XM_ConfirmCoinDispense,* صرف النقود المعدنية %s (%d)
XM_ConfirmEmptyCoinAcceptor,* Reset Coin Acceptor Counts to Zero\nAmount to remove:%s
XM_ConfirmEmptyCoinOverflow,* إعادة ضبط فائض النقود المعدنية (%s)
XM_ConfirmEmptyNoteAcceptor,* إعادة ضبط متلقي النقود الورقية (%s)
XM_ConfirmEmptyNoteOverflow,* إعادة ضبط فائض النقود الورقية (%s) 
XM_ConfirmFillLoaderCassette,ضبط تعداد النقود الورقية %s (%d)
XM_ConfirmManualCoinEmpty,إعادة ضبط تعداد النقود الورقية %s (%d)
XM_ConfirmManualCoinFill,ضبط تعداد النقود المعدنية %s (%d)
XM_ConfirmManualNoteEmpty,إعادة ضبط تعداد النقود الورقية %s (%d)
XM_ConfirmManualNoteFill,ضبط تعداد النقود الورقية %s (%d)
XM_ConfirmNoteDispense,* صرف النقود الورقية %s (%d)
XM_ConfirmTransferNotesToOverflow,* نقل النقود الورقية إلى صندوق النقود %s (%d)
XM_Count,التعداد
XM_DispenseCupFull,مكان إعادة باقي النقود المعدنية ممتلئ. نرجو إزالة النقود المعدنية لإكمال عملية الصرف.
XM_DispenseCupFullPreemptive,نرجو أخذ الباقي\nإذا كان مكان إعادة النقود المعدنية ممتلئاً، أفرغه فوراً. سيتوقف صرف النقود حتى يتم إفراغ الوعاء.
XM_DispenseSensorBlock,قد يكون مكان إعادة النقود المعدنية ممتلئاً أو أداة الاستشعار معطلة. نرجو إزالة النقود المعدنية أو الاتصال بالصيانة.
XM_DispenseText,صرف
XM_DispenseThreshold,الرقم الذي تم إدخاله يتجاوز المبلغ المتاح للصرف.  أقصى مبلغ تم إدخاله: %d
XM_Empty,إفراغ
XM_EmptyCashAcceptorLT,أزل النقود الورقية من متلقي النقود
XM_EmptyCashBoxLT,أزل النقود الورقية من صندوق النقود
XM_EmptyCoinAcceptor,إعادة ضبط متلقي النقود المعدنية
XM_EmptyCoinAcceptorLT,إزالة النقود المعدنية من متلقي النقود المعدنية
XM_EmptyCoinHopperLT,إزالة النقود المعدنية من ملقّم النقود المعدنية
XM_EmptyCoinOverflow,إعادة ضبط فائض النقود المعدنية
XM_EmptyCoinOverflowLT,إزالة النقود المعدنية من فائض النقود المعدنية
XM_EmptyLoaderCassetteLT,إزالة النقود الورقية من علبة المُحمّل
XM_EmptyNoteAcceptor,إعادة ضبط متلقي النقود الورقية
XM_EmptyNoteCassetteLT,إزالة النقود الورقية من علب المُحمّل
XM_EmptyNoteOverflow,إعادة ضبط فائض النقود الورقية
XM_Enter,إدخال
XM_ExceededAmount,المبلغ يتجاوز السعة. أقصى مبلغ لازم هو %s.
XM_ExceededCapacity,التعداد يتجاوز السعة. أقصى حد لازم للتعداد هو %d. تم إدخال %d تلقائياً.
XM_Execute,تطبيق التغييرات
XM_Exit,خروج    
XM_FastLaneReport,تقرير NCR SelfServ Checkout
XM_FillLoaderCassette,ضبط تعداد النقود الورقية
XM_GoBack,العودة
XM_ID,هوية المحاسب
XM_IDPrompt,"اطبع الهوية والمس ""إدخال""."
XM_InvalidAmount,القيمة التي تم إدخالها لـ%s غير صحيحة. \nنرجو الإدخال مجددا.
XM_KeyPadEnterCoinAmount,أدخل مبلغ s% قطعة نقدية باستخدام لوحة المفاتيح.
XM_KeyPadEnterCoinCount,أدخل عدد s% قطعة نقدية باستخدام لوحة المفاتيح.
XM_KeyPadEnterNoteAmount,أدخل مبلغ s% ورقة نقدية باستخدام لوحة المفاتيح.
XM_KeyPadEnterNoteCount,أدخل عدد s% ورقة نقدية باستخدام لوحة المفاتيح.
XM_KeyPadInstr,أدخل التعديد باستخدام لوحة المفاتيح
XM_ManualBothFillAlert,افتح باب الممر وأودع النقود الورقية في العلب والنقود المعدنية في الملقمات. لا تدخلها إلى أجهزة التلقي.
XM_ManualCoinDispenserEmpty,إعادة ضبط تعداد النقود المعدنية
XM_ManualCoinDispenserFill,ضبط تعداد النقود المعدنية
XM_ManualCoinFillAlert,افتح باب الممر وأودع النقود المعدنية مباشرة في ملقم النقود المعدنية. لا تدخلها إلى أجهزة التلقي.
XM_ManualEmptyAlert,أزل كل النقود من الجهاز.  
XM_ManualFillAlert,افتح باب الممر وأودع النقود مباشرة في الجهاز. لا تدخلها إلى أجهزة التلقي.
XM_ManualNoteDispenserEmpty,إعادة ضبط تعداد النقود الورقية
XM_ManualNoteDispenserFill,ضبط تعداد النقود الورقية
XM_ManualNoteFillAlert,افتح باب الممر وأودع النقود الورقية مباشرة في العلبة. لا تدخلها إلى جهاز تلقي النقود الورقية.
XM_No,لا
XM_NoteDispenseFailure,تعذّر الصّرف %s.\nالنقود الورقية لا تكفي أو هناك خطأ في صراف النقود الورقية.
XM_PW,كلمة مرور المحاسب
XM_PWPrompt,"اطبع كلمة المرور والمس ""إدخال""."
XM_PendingText,قيد التنفيذ
XM_PleaseWait,يتم تنفيذ العملية...\nنرجو الانتظار.
XM_Print,طباعة حالة النقود
XM_PurgeCoinRecycler,تفريغ جهاز إعادة تدوير النقود المعدنية
XM_PurgeNoteRecycler,تفريغ جهاز إعادة تدوير النقود الورقية
XM_ReEnter,رقم المحاسب وكلمة المرور غير صحيحين. \nنرجو المحاولة مرة أخرى.
XM_ResetCoinsToBaseLevel,صرف النقود المعدنية إلى مستوى القاعدة
XM_ResetNotesToBaseLevel,نقل النقود الورقية إلى مستوى القاعدة
XM_SelectFunc1,اختر وظيفة النظام
XM_SelectFunc2,اختر الوظيفة المطلوبة
XM_StoreNumber,Store #:
XM_TransferAllNotes,نقل جميع النقود الورقية
XM_TransferNotesToOverflow,نقل النقود الورقية إلى الفائض
XM_Update,تحديث
XM_Yes,نعم
XM_SequenceNumber,رقم التسلسل
XM_CardManagement,إدارة البطاقات
XM_CoinHopperEmpty,"Coin hopper must be emptied in order to reset coin counts to zero. Empty each coin hopper bin before touching ""Apply Changes""."
XM_CollectRemainingCoins,Remove coins from coin return when dispense has completed.
XM_FPIDPrompt,"أدخل هوية المستخدم الخاصة بك والمس ""إدخال""، أو ضع إصبعك على قارئ بصمة الإصبع لتسجيل الدخول."
XM_LoanFailure,Loan Failure
XM_LoanFailureLeadthru,Loan was rejected. Select desired function.
XM_UndoLoan,Undo Loan
XM_CommitLoan,Commit Loan
XM_PickUpFailure,Pickup Failure
XM_PickUpFailureLeadthru,Pickup was rejected. Select desired function.
XM_UndoPickUp,Undo Pickup
XM_CommitPickUp,Commit Pickup
XM_ManualRemoveCashAlert,Remove cash from the cash box and coins from the coin overflow bin to undo loan.\n\nBills\nCount to remove: %d\nAmount to remove: %s\n\nCoins\nCount to remove: %d\nAmount to remove: %s
XM_POSRejectedLoanPickUp,POS rejected loan/pickup:  %s / %d  rejected.\n
XM_LoanPickUpCashierOverrides,Cashier ID %s override of loan/pickup: %s / %d  committed.\n\n
MinMaxFastLaneBtnPrimaryTxt,تصغير نافذة SelfServ Checkout
MinMaxFastLaneBtnSecondaryTxt,تكبير نافذة SelfServ Checkout
MinMaxFastLaneBtnPrimaryShowConfirmation,"لتصغير نافذة SelfServ Checkout، المس زر ""Minimize SelfServ Checkout""."
MinMaxFastLaneBtnSecondaryShowConfirmation,"لتكبير نافذة SelfServ Checkout، المس زر ""Maximize SelfServ Checkout""."
