AmountSaved,节省金额
ScotApp_1309,* 插入盛放盒，直到其闩入位。\n* 检查纸币收受器马达是否短时开启。
ScotApp_1323,剩余重量
ScotApp_1079,把扫描过的商品放到传送带上。
ScotApp_1382,(标准)
ScotApp_1532,请参阅设备手册纠正该错误。
ScotApp_1786,塑料袋收费
ScotApp_1094,打印签名
ScotApp_1113,%s @ %s/%s\t%s
ScotApp_1798,仅接受现金的模式
ScotApp_1322,优惠券传感器出错\n通讯故障。
ScotApp_1078,选择预计重量的设置。 （顾客应把商品放到传送带上。）
ScotApp_1334,  商品未放在传送带上
ScotApp_1785,登录无效。 请使用键盘或指纹重新登录。
ScotApp_1046,请把您的%s拿给支付台的收银员。
ScotApp_1696,条件已更正
ScotApp_1112,%s @ %s %s/%s\t%s
ScotApp_1158,小键盘/ EFT电子转账装置错误
ScotApp_1065,1065unused
ScotApp_1321,完成凭证付款。应付余额。
ScotApp_764,764unused
ScotApp_1530,请参阅设备手册纠正该错误。
ScotApp_1784,一包多件的商品
ScotApp_1070,1070unused
ScotApp_49,49unused
ScotApp_1111,  数量%s @ %s/%s\t%s
ScotApp_753,昨天每小时
ScotApp_653,请输入以便士表示的优惠券金额然后按“输入”按钮。
ScotApp_453,硬币收受器的状态为装满硬币
ScotApp_353,返回
ScotApp_253,253unused
ScotApp_153,153unused
ScotApp_1320,开始凭证付款。
ScotApp_953,"关机后重新启动终端：\n\n* 把管理员键盘锁转到'S' -或-按管理员按钮。\n* 选择""下次重启时运行设备自动检测""。 Select ""是"" to confirm.\n* 选择“关闭整个系统”按钮。\n* 当出现空白画面时间，请在UPS或电源板处关闭终端。\n* 开启终端。 Check event viewer. 若错误再次出现，则请则请生成一份诊断日志文件，并联系维修人员。"
ScotApp_853,四件商品
ScotApp_1845,收据
ScotApp_1537,请参阅设备手册纠正该错误。
ScotApp_732,732unused
ScotApp_632,632unused
ScotApp_532,有条件限制的商品
ScotApp_432,EBT(电子福利转账)
ScotApp_332,离开帮助模式。
ScotApp_232,* 取下纸币收受器和盛放盒。\n* 检查盒的堵塞。\n* 打开收受器顶部的门，然后检查纸币的堵塞。\n* 关好门。\n* 装回收受器和盛放盒。
ScotApp_132,132unused
ScotApp_1110,  数量%s @ %s/每件\t%s
ScotApp_1242,借记卡
ScotApp_1285,流行
ScotApp_932,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;
ScotApp_832,832unused
ScotApp_1327,按所需报告，然后按“运行报告”按钮。
ScotApp_711,711unused
ScotApp_611,选择所需功能。
ScotApp_511,把顾客签名与卡上的签名进行对比。
ScotApp_411,请拿好会员优惠卡
ScotApp_311,卡箱是空的
ScotApp_111,清零秤盘
ScotApp_1789,优惠券 
ScotApp_1536,请参阅设备手册纠正该错误。
ScotApp_911,清除安全
ScotApp_811,扫描您的礼品卡。请检查购物篮中的其它商品。
ScotApp_1628,CPU出错
ScotApp_1523,请参阅设备手册纠正该错误。
ScotApp_1349,预计%s\n %s\n%s %s   \n实际观察到%s %s
ScotApp_1892,安全性分析
ScotApp_1279,检查
ScotApp_1535,请参阅设备手册纠正该错误。
ScotApp_1057,1057unused
ScotApp_1441,硬币管理
ScotApp_1313,* 检查打印机中的纸张是否堵塞。\n* 重新载入纸张。\n* 正确关断终端然后再重新启动之。
ScotApp_1681,纸币收款找零机出错
ScotApp_1069,1069unused
ScotApp_1325,把商品放到秤上。
ScotApp_1278,USERDEFINED20
ScotApp_1103,上一个
ScotApp_1534,请参阅设备手册纠正该错误。
ScotApp_1056,1056unused
ScotApp_1312,* 取下纸币盒。\n* 打开并取出纸币。\n* 关闭纸币盒并把其重新插入纸币收受器。\n* 检查纸币收受器马达是否开启以及LED指示灯是否为绿色。
ScotApp_1265,USERDEFINED7
ScotApp_1850,出错设备
ScotApp_1213,未知
ScotApp_1521,请参阅设备手册纠正该错误。
ScotApp_139,请取走收据
ScotApp_1043,使用辅助模式接受%s从顾客。
ScotApp_1401,正在协助。\n\n请稍候...
UnknownItemMessage,客服人员正在前来。\n\n请把商品放到一旁，然后继续。
TimeRestrictedItemMessage,当前，您无法 购买此商品。\n\n请把该商品放到一旁 然后继续。
ItemQuantityExceededMessage,您已超出该商品允许购买的数量。\n\n请把商品放在一边，继续进行。
WeightMismatch,检查商品的重量。\n\n请稍候...
ItemQuantityExceeded,数量限制 已超出
WaitForRemoteAssistanceTitle,远程服务员
ScotApp_489,感谢您使用NCR SelfServ Checkout自助结帐系统。
ScotApp_273,请勿在此时扫描。\n把商品放到一旁。
ScotApp_431,无效会员优惠卡。请确认。
ScotApp_410,需要协助的是：
ScotApp_1739,请等待服务员。\n系统无法验证您的袋子。\n如果你不小心把袋子以外的物品放到的装袋台，请在此刻移开这些物品。
ScotApp_73,返回到 购物模式
ScotApp_772,已提请暂停当前交易。\n请确认或取消该请求。
ScotApp_530,读卡错误。\n请使用其它卡。 \n -或- \n支付现金。 \n -或- \n请要求帮助。
ScotApp_524,个人识别号码输入错误。\n请在付款设备上重新输入个人识别号码。
ScotApp_397,使用协助模式销售有效商品。\n收集其它不销售的商品。
ScotApp_171,"""%s""\n\n %d是否正确？"
ScotApp_1374,\n---------------------------------------\n
ScotApp_1646,交易暂停。请把所有商品放在一旁。
ScotApp_495,您已超出该商品允许购买的数量。\n\n请把商品放在一边，继续进行。
ScotApp_529,请取出卡，然后... \n插入其它卡。 \n -或- \n支付现金。 \n -或- \n请要求帮助。
ScotApp_275,此时不要插入记账卡。\n请取回您的记账卡。
ScotApp_1891,正在进行系统验证。 \n请稍候...
ScotApp_1750,我们正在处理您的指纹，请稍候。
ScotApp_169,要继续购物吗？
ScotApp_415,请拿好会员优惠卡。\n卡在此前已插入过。
ScotApp_1793,目前本机仅接受信用卡和借记卡。\n要继续吗？
ScotApp_477,放入您的优惠券。\n在收据打印好之后：\n-- 收集好采购的商品。 \n-- 把收据和优惠券拿到付款台。
ScotApp_177,整个购物已取消。请把所有商品放到一旁。
ScotApp_656,请把<%s>放到一旁。\n商店助理将帮助您。
ScotApp_1709,此时，不要插入纸币或硬币。\n请取走退回的现金。\n在扫描仪下面找赎纸币。
ScotApp_435,选择优惠类型。\n若想使用食品券，则必须在使用其他优惠之前使用食品券。
ScotApp_808,把带安全标牌的商品交给店员，让其取下标牌。
ScotApp_294,请求商店援助，请按 “求助”按钮。
ScotApp_1287,请稍候...\n正在检查商品重量。
ScotApp_525,个人识别号码输入错误。\n请取出卡，然后...\n插入其它卡\n -或- \n支付现金
ScotApp_480,请按“OK”按钮，然后把购物小票和商品拿到收银台。
ScotApp_1751,移开袋秤上的所有重物，然后按： “已纠正错误”按钮。
ScotApp_175,"是否要从收据中删除\n""%s""？"
ScotApp_1746,指纹服务器无法使用。\n请再试一次。
ScotApp_1839,请等待收银员的到来。\n请勿在此时扫描。 把商品放到一旁。
ScotApp_501,请在收据上签名，并等待商店的批准。
ScotApp_414,请拿好您的会员优惠卡。\n折扣不适用于当前购物。该折扣将邮寄给您。
ScotApp_563,初始化Hard Totals时发生错误。\n应用程序马上退出。
ScotApp_263,要剔除商品，首先要作废优惠券。\n请首先作废商品的优惠券。
ScotApp_800,请检查您的购物篮。\n\n立即扫描更多商品或\n按“OK”按钮付款。
ScotApp_134,正在核定。\n请稍候。
ScotApp_620,输入允许误差
ScotApp_161,%s\n请使用键盘输入数量，然后按“OK”按钮。
ScotApp_440,您的现金津贴余额少于所需要的金额。\n是否要把%s现金津贴用于此次购物？
ScotApp_184,%s将记入您的帐户。
ScotApp_274,此时不要插入现金。\n请取回现金。
ScotApp_1744,装置不认识您的指纹。\n请再试一次。
ScotApp_160,商品已被召回。\n正准备提供帮助。\n请把商品放到一旁，然后继续购物。
ScotApp_1795,或限定为“仅接受卡”。
ScotApp_159,商品价格未知。\n正准备提供帮助。\n请把商品放到一旁，然后继续购物。
ScotApp_458,选择津贴类型。\n食品券不能用于此购物。
ScotApp_1329,请稍候...\n正在检查商品重量。\n双重重量商品已装袋。
ScotApp_407,读卡错误。\n* 尝试用其它卡\n -或- \n* 请求援助
ScotApp_706,您的食品券余额少于本次购物总额。\n请按 “OK”按钮转到其它付款方式。
ScotApp_606,删除重量输入项
ScotApp_906,请拿好您的商品。
ScotApp_705,您的现金津贴余额少于本次购物总额。\n请按 “OK”按钮转到其它付款方式。
ScotApp_605,购买重量输入项
ScotApp_405,读卡期间出错。\n* 尝试用其它卡\n -或- \n* 支付现金\n -或- \n* 请求协助
ScotApp_491,请拿好您的卡。
ScotApp_818,请等待收银员的到来。\n下述内容需要协助：
ScotApp_1796,或限定为“仅接受现金”。
ScotApp_438,您食品券上的余额过少。\n是否要把%s食品券余额用于本次购物？
ScotApp_1596,您要保存%s作为您在%s上的首选语言吗？\n请选择“是”或“否”按钮。
ScotApp_766,%s将记入您的帐户。
ScotApp_166,正准备提供帮助。\n请继续您的购物。
ScotApp_413,请拿好您的会员优惠卡。\n将使用优惠价格。
ScotApp_1797,采取的行动未能纠正该错误。\n请再试一次，或限定为 “仅接受现金”。
ScotApp_178,请等待商店的批准。\n需要批准：
ScotApp_790,您的卡被拒绝。\n请选择其它付款方式。
ScotApp_1794,目前本机仅接受现金。\n无法处理信用卡或借记卡。\n要继续吗？
ScotApp_412,该商品将导致您的购物超过%s。\n请先为前面的商品付款，然后再分开购买其它商品。
ScotApp_546,您的年龄不够，不能购买该商品。\n请把商品放在一边，继续您的购买。
ScotApp_553,优惠券在购物结束时被接受。\n请把它们放在一边后继续。
ScotApp_211,正在处理...\n请稍候。
ScotApp_1400,远程服务员
ScotApp_1754,字母不匹配商品。\n请再试一次。
ScotApp_1859,"是否采购整箱 %s？ 选择""是""或""否""。"
ScotApp_533,目前您无法购买此商品。\n请把它放到一旁，然后继续您的购物。
ScotApp_1763,"e=d=%5.3f公斤,最重 %5.3f公斤, 最轻 %3.1f公斤, 最多 %4.0f"
ScotApp_1762,"e=d=%4.2f磅,最重 %4.2f磅, 最轻 %3.1f磅, 最多 %4.0f"
ScotApp_1764,"e = d = %4.2f磅,最重 %4.2f磅,最轻 %3.1f磅, 最多 %4.0f"
ScotApp_1765,"e = d = %5.3f公斤,最重 %5.3f公斤,最轻 %3.1f公斤, 最多 %4.0f"
ScotApp_305,选择容器用于： %s
ScotApp_703,使用个人识别号码小键盘。请按个人识别号码小键盘上的“取消”按钮以取消付款。
ScotApp_125,键入顾客的出生日期 %s 然后触摸“批准”按钮。
ScotApp_1853,键入顾客的出生日期 %s 然后触摸“输入”按钮。
ScotApp_654,日期应为%s格式。输入的金额：%s
ScotApp_560,本系统不接受优惠券。
ScotApp_1788,%d是否正确？ \n\n一个%s塑料袋的费用将计入总金额。
ScotApp_1358,%s礼品卡金额已应用于您的购物。\n\n您的礼品卡余额是%s。
ScotApp_167,优惠券不符合任何购买商品。\n\n本优惠券不被接受。
ScotApp_164,系统无法识别该商品的代码。\n\n请确保输入正确代码。
ScotApp_547,店员号码和密码不正确。\n\n请再试一次。
ScotApp_442,此次购物的%s可用食品券支付。\n\n%s
ScotApp_443,%s将记入您的帐户。\n\n可以吗？
ScotApp_700,无法在本结帐通道出售的产品。\n正准备提供帮助。\n\n请把商品放到一旁，并继续您的购物。
ScotApp_165,系统无法识别该商品。\n正准备提供帮助。\n\n请把商品放到一旁，然后继续您的购物。
ScotApp_182,您为此优惠券输入的金额太高。\n\n本系统无法接受此优惠券。
ScotApp_733,卡被拒绝。\n请使用其它支付卡或用现金支付。
ScotApp_812,感谢您使用NCR SelfServ Checkout系统。\n请把礼品卡拿给收银员。
ScotApp_1826,您想保存优惠卡使用偏好设置吗？
ScotApp_1852,请把商品从装袋台移开。
QRCodeErrorText,QR Code Error
ScanQRCodeInstruction,Scan this code to complete\nyour Mobile shopping.
ScotApp_1896,Transferring items from mobile cart.
ScotApp_1897,请稍候。...
ScotApp_1898,Mobile Cart
ScotApp_1899,Mobile Audit
ScotApp_1900,Mobile Shopper Audit
ScotApp_1901,"Touch ""OK"" then use Attendant Handset to complete audit."
ScotApp_1902,Begin Mobile Transaction
ScotApp_1903,End Mobile Transaction
ScotApp_1904,%d Items Sold
ScotApp_1905,Scan barcode to complete your Mobile checkout.
ScotApp_1906,Mobile cart transfer is complete.
ScotApp_1907,\nTouch Pay or add more items.
MoveLeft,< Move
MoveRight,Move >
Accessibility,Accessibility
SearchItemCodeWatermark,Enter Item Code
ScanAndBagNoSearchKeyIn,Scan or look up item to start
ScanLookUpKeyInItem,"Scan, look up, or key in item code to start."
LookUpKeyInItem,Look up or Key in Item
ScanOrKeyInItem,Scan or Key in Item
RemoveItemFromProduceScale,Remove item from scale.
RemoveItemFromProduceScaleTitle,Remove Item
